DATE,AluminumPM2.5LC,AmbientMaxTemperature,AmbientMinTemperature,AmbientTemperature,AmmoniumIonPM2.5LC,AntimonyPM2.5LC,ArsenicPM2.5LC,BariumPM2.5LC,BrominePM2.5LC,CadmiumPM2.5LC,CalciumPM2.5LC,CarbonateCarbonCSNPM2.5LCTOT,CeriumPM2.5LC,CesiumPM2.5LC,ChlorinePM2.5LC,ChromiumPM2.5LC,CobaltPM2.5LC,CopperPM2.5LC,EC1CSN_RevUnadjustedPM2.5LC,EC2CSN_RevUnadjustedPM2.5LC,EC3CSN_RevUnadjustedPM2.5LC,ECCSN_RevUnadjustedPM2.5LCTOR,ECCSN_RevUnadjustedPM2.5LCTOT,ECCSNPM2.5LCTOT,EuropiumPM2.5LC,GalliumPM2.5LC,GoldPM2.5LC,HafniumPM2.5LC,IndiumPM2.5LC,IridiumPM2.5LC,IronPM2.5LC,LanthanumPM2.5LC,LeadPM2.5LC,MagnesiumPM2.5LC,ManganesePM2.5LC,MercuryPM2.5LC,MolybdenumPM2.5LC,NickelPM2.5LC,NiobiumPM2.5LC,OC1CSN_RevUnadjustedPM2.5LC,OC1CSNUnadjustedPM2.5LCTOT,OC2CSN_RevUnadjustedPM2.5LC,OC2CSNUnadjustedPM2.5LCTOT,OC3CSN_RevUnadjustedPM2.5LC,OC3CSNUnadjustedPM2.5LCTOT,OC4CSN_RevUnadjustedPM2.5LC,OC4CSNUnadjustedPM2.5LCTOT,OCCSN_RevUnadjustedPM2.5LCTOR,OCCSN_RevUnadjustedPM2.5LCTOT,OCCSNUnadjustedPM2.5LCTOT,OPCSN_RevUnadjustedPM2.5LCTOR,OPCSN_RevUnadjustedPM2.5LCTOT,OPCSNPM2.5LCTOT,PhosphorusPM2.5LC,PotassiumIonPM2.5LC,PotassiumPM2.5LC,RubidiumPM2.5LC,SamariumPM2.5LC,SampleBaroPressure,SampleMaxBaroPressure,SampleMinBaroPressure,ScandiumPM2.5LC,SeleniumPM2.5LC,SiliconPM2.5LC,SilverPM2.5LC,SodiumIonPm2.5LC,SodiumPM2.5LC,StrontiumPM2.5LC,SulfatePM2.5LC,SulfurPM2.5LC,TantalumPM2.5LC,TerbiumPM2.5LC,TinPM2.5LC,TitaniumPM2.5LC,TotalNitratePM2.5LC,TungstenPM2.5LC,VanadiumPM2.5LC,YttriumPM2.5LC,ZincPM2.5LC,ZirconiumPM2.5LC
1/1/2011,NA,21.6,10.4,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,758,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/2/2011,NA,19.8,6.4,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753,757,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/3/2011,0,11.825,-2,3.933333333,0.157,0,0,0,0.002,0,0.0124,NA,0,0,0.0073,0,0.0029,0.0052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.0772,NA,0,0,0.001,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.037,0.0452,0,NA,759.3333333,762,756.25,NA,0,0.007,0,0.03,0,0,0.62,0.22,NA,NA,0,0.001,0.215,NA,0.001,NA,0.0083,0
1/4/2011,NA,13,-2,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,758,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/5/2011,NA,10,0.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,753,746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/6/2011,0.023,10.33333333,3.333333333,6.45,1.16,0,0.001,0,0.0248,0,0.0096,NA,0,0,0.0118,0.002,0,0.002,1.36,0.028,0,0.85,0.441,NA,NA,NA,NA,NA,0.003,NA,0.0569,NA,0.002,0,0,NA,NA,0,NA,0.159,NA,0.676,NA,0.915,NA,0.564,NA,2.86,3.26,NA,0.541,0.95,NA,0,0.077,0.074,0,NA,744,746.3333333,742.3333333,NA,0.001,0.023,0,0.05,0,0,1.74,0.618,NA,NA,0,0.002,2.56,NA,0,NA,0.0108,0
1/7/2011,NA,10.9,1.3,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,743,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/8/2011,NA,10.3,-1.7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743,752,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/9/2011,0.05,4.775,-6.45,-0.55,0.303,0,0.001,0,0.0021,0,0.007,NA,0,0,0.003,0.001,0,0.001,0.539,0.0389,0,0.334,0.142,NA,NA,NA,NA,NA,0.003,NA,0.0212,NA,0.001,0,0,NA,NA,0.001,NA,0.08,NA,0.299,NA,0.327,NA,0.28,NA,1.23,1.42,NA,0.244,0.436,NA,0,0.027,0.033,0,NA,758.75,762.75,751.75,NA,0,0.008,0,0.05,0,0,0.94,0.3,NA,NA,0,0,0.682,NA,0,NA,0.0026,0
1/10/2011,NA,2.2,-2.7,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,758,761,755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
