Run_Order,Location,Date,Li7,Be9,Mg24,Al27,Si29,P31,Ca43,Ca44,Ti47,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,Zn66,As75,Se78,Rb85,Sr88,Mo95,Cd111,Sb121,Cs133,Ba137,Ba138,Hg202,Pb208,Bi209,Th232,U238,S34,Br79,Sn118
23,Northern,2-Feb-11,1.09326675,0.00463764,87.35279959,65.20572987,2827.801731,1.108690536,257.1622805,259.7516768,2.553096923,0.08051695,0.102701086,0.282491491,23.91035067,0.007155032,0.16407674,8.354774894,2.112649761,2.383454396,0.040090448,0.099965258,0.018054821,0.240430469,0.03934427,0.014417809,0.145085244,0.002815659,1.085591909,1.427066786,0.007371819,1.667503804,0.01026593,0.005297108,0.004039662,70.67798017,0.094015629,0.060239276
24,Northern,8-Feb-11,0.026338247,0.001101246,118.3250767,82.17386755,2355.711749,1.257577756,274.8373826,294.3935775,0.632619048,0.039457639,0.161569247,0.322782559,19.58623507,0.011022143,0.244429567,10.34879056,1.342926869,1.282597275,0.033316125,0.08885886,0.028544317,0.22338845,0.04001431,0.004383631,0.176282511,0.002628544,1.217005879,1.409303292,0.014801329,0.375554604,0.014291741,0.005317277,0.002666012,178.5963536,0.022294288,0.025368828
25,Northern,14-Feb-11,0.051644909,0.002291123,137.3320711,113.8116281,2794.192672,1.310609616,326.055787,328.2775834,2.053595591,0.117668149,0.134180618,0.798560503,37.90540315,0.017103655,0.135525764,13.56012448,2.143628133,2.678933903,0.080669803,0.18118203,0.047956614,0.451362997,0.027873594,0.025420803,0.550616832,0.004237614,1.626318012,1.675422563,0.01403249,0.865201426,0.015716984,0.0089775,0.004282946,106.2664245,0.160977489,0.037332884
26,Northern,20-Feb-11,0.033823589,0.004132441,69.77803309,125.0235852,752.82001,1.416354113,338.3240657,405.6339136,1.726503412,0.083394037,0.162866626,0.634183913,47.0266096,0.008685331,0.090097282,26.88924148,4.228259479,4.134081823,0.158103683,0.099597018,0.054909278,0.349736743,0.046051656,0.061786046,0.436459903,0.004938355,1.569108768,2.936492372,0.011490698,2.961322581,0.01835895,0.010964546,0.003537867,51.10269165,0.108883242,0.045691654
27,Northern,26-Feb-11,0.020445551,0.001779276,96.83246741,78.45304406,1435.547301,1.441715405,339.4216556,317.4990217,1.397580183,0.04323263,0.223021342,0.337456432,22.61036116,0.005574669,0.06184775,16.58081135,1.28241814,1.181354252,0.09261856,0.191170556,0.025800422,0.374061185,0.031202975,0.01060908,0.371564726,0.002636372,1.285331143,1.389991003,0.026262329,0.412881006,0.018520925,0.00583204,0.00382637,297.0719489,0.264645931,0.074245286
29,Southern,2-Feb-11,0.048855528,0.003281579,89.03640643,72.24190072,-481.308721,1.108296601,195.9844407,200.1198656,0.618838357,0.08246252,0.048758736,0.25408229,19.52253242,0.002320837,0.188722204,18.94307902,1.005175173,0.760197976,0.024365496,0.059103707,-0.003928766,0.24258921,0.017164987,0.003052839,0.112901922,0.007132253,0.994880219,0.982153943,0.015235714,1.101023129,0.009153903,0.004963387,0.001965229,76.65191596,0.123388793,0.030581424
30,Southern,8-Feb-11,-0.001002009,0.003122042,32.28093533,108.062489,-214.423718,1.790239595,331.0851782,294.5853271,1.005211235,0.044796474,0.114164961,0.347158132,37.77133672,0.003810536,0.108163998,34.96896671,1.740960325,1.641393402,0.094180402,0.074073344,0.003870883,0.3940543,0.051250536,0.007660043,0.304739379,0.000476494,1.84655759,1.875153356,0.026329762,0.392461542,0.016462022,0.006560145,0.00276914,273.132479,0.200498285,0.078590246
31,Southern,14-Feb-11,0.000836559,0.002444012,35.62215831,85.0278952,-1309.70495,2.032910616,280.606454,263.5412299,0.900441154,0.125541617,0.948120155,0.327964433,24.01888186,0.005808197,0.217061176,13.11472582,1.490610322,1.134714634,0.041243281,0.02743173,0.034520282,0.363353035,0.015798453,0.005850165,0.159666368,0.002612135,1.062423168,1.198306667,0.011905584,0.21075782,0.006131806,0.008797089,0.003308079,94.68156676,0.149733795,0.016114812
32,Southern,20-Feb-11,-0.003932368,0.002616843,97.04617003,135.2389795,-1400.099054,0.765837658,441.7734337,431.9617162,0.708520867,0.333028355,0.06574865,0.577664956,22.8168772,0.006976146,0.461114216,56.8440289,1.709737392,1.531101815,0.072053991,-0.064256883,0.015964384,1.02048713,0.011024982,0.009664217,0.167704454,0.002444138,0.485550417,0.786606839,0.023785119,1.692249827,0.014404105,0.00768232,0.001579943,70.06816397,0.373929636,0.041356117
33,Southern,26-Feb-11,0.02549193,0.001952107,108.3646487,144.6876581,140.887525,2.133887136,340.5569888,381.8106612,1.626936064,0.844144798,0.198018376,0.28335915,41.99479118,0.006943482,0.754395246,24.71652252,1.234264164,1.045934893,0.118180643,0.122312858,0.064848531,0.764943818,0.042059506,0.004636482,0.18985661,0.010814643,1.294248844,1.482004597,0.013018195,0.810666847,0.016109928,0.010035546,0.004197468,129.6134038,0.619793287,0.029403965
35,Middle,2-Feb-11,-0.004428718,0.002949211,21.57946086,81.23043438,-852.971395,0.082631354,248.0084673,207.8609712,-0.162920982,-0.044912401,0.038612412,0.177999759,11.78466717,0.00534633,0.197821814,25.69077512,0.772739737,0.649597286,0.023642597,0.115970572,-0.012940834,0.139427236,0.01465786,0.005190092,0.128557745,-0.000400373,2.346014552,3.571740064,0.014560732,-1.512839474,0.009573569,0.005242591,0.000268701,109.0369984,0.41160062,0.015357284
36,Middle,8-Feb-11,0.041843566,0.002610196,296.4590241,307.4519843,-810.029106,0.302039809,1099.33131,1231.563059,1.675035668,0.05139597,0.264988639,0.352956387,36.06199015,0.007070778,0.089812402,66.1676028,1.205492124,1.206117516,0.067773668,0.134895506,0.075598852,1.1658065,0.034177197,0.005195415,0.185870928,0.004668144,0.978495383,1.460739048,0.018533707,-0.012356048,0.01351122,0.006483727,0.001776739,106.1595239,0.128799985,0.031905859
37,Middle,14-Feb-11,0.025901801,0.003288226,182.3236952,231.553839,-218.341224,1.066165885,788.8890645,859.7326017,2.248777769,0.128838369,0.121730794,0.57316126,40.84326306,0.007957882,0.140090475,77.54140332,1.873530232,1.859215057,0.047625717,0.102168126,0.117446996,0.877351352,0.02639621,0.005895412,0.270860843,0.007874542,1.568573014,1.951462312,0.016022808,0.140025953,0.011518903,0.013394348,0.003805837,127.5238345,0.588751343,0.045262465
